step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.9466731612690504,0.0,285.2737131,1.1621816147212272,0.0,0.0,673.2367399999999,176.0,240.060426650044,144.0,83.342781,0.0,41.0,24.0,132.2345376,31.5624312,41.0820828,56.01601702508958
2,2,1,0.9982621493089269,107.8952303,285.2737131,104.0564688,0.0,0.0,673.2367399999999,190.0,283.6120007,144.0,83.342781,0.0,41.0,25.0,132.2345376,31.5624312,41.0820828,70.0127314814815
3,3,1,1.0,107.8952303,285.2737131,103.07560480176124,32.86789046705713,7.89881123058543,673.2367399999999,182.99999999999997,283.6120007,144.0,83.342781,2.39881123058543,41.0,25.0,132.2345376,31.5624312,41.0820828,70.90291816009554
4,4,1,1.0,70.13196857610497,285.2737131,45.64541809739433,13.687441236735832,34.18064814814818,673.2367399999999,185.00000000000003,263.8745422221922,144.0,83.342781,4.7812155999999995,41.0,25.0,132.2345376,31.5624312,41.0820828,99.159614197531
5,5,1,1.0,49.37935631077348,274.3971387133659,37.618030903282175,13.131851481025983,19.90996415770609,450.9433752725057,173.0,142.21752933537323,144.0,63.1244002979449,4.7812155999999995,41.0,18.0,132.2345376,29.0,30.866412693404875,72.87367980884113
6,6,1,1.0,38.591227572927984,154.21934057978325,25.703637083938446,13.0334055161631,10.763981481481501,311.8415010736104,168.0,87.42339234327073,144.0,55.12712107601873,4.7812155999999995,41.0,12.0,132.2345376,24.0,26.85992200194466,58.723001543209904
7,7,1,0.9684830238954484,30.907509442634975,148.63591874817607,25.270279186867953,8.018933388966955,4.865161290322558,294.17260930970536,163.89473684187004,125.99999999962753,144.0,43.104203977515304,0.0,38.89473684187004,8.0,132.2345376,19.894736841870042,20.856914550992002,48.71293576660116
8,8,1,0.9137235720493316,28.20740006273384,123.25028180710899,21.7021418183281,5.9889333889669665,4.000770609318998,258.86145265537664,163.38149144160477,133.1873614492075,144.0,42.08251215792918,0.0,38.38149144160474,7.0,132.2345376,19.381491441604766,20.85444241479896,47.32735315008742
9,9,1,0.8809497449907459,42.284352841583825,118.85650722636927,71.27513608734779,10.473236165583321,5.169074074074068,256.41021093007294,158.13960005961962,121.88770009439764,144.0,43.14507385825787,0.0,33.13960005961957,8.0,132.2345376,14.139600059619625,19.876516759492432,43.274484318878905
10,10,1,0.8685033155703707,69.92424769239997,183.9789753691814,58.831392907385165,11.291975246837652,11.52480286738352,339.507613362013,159.69926656674014,124.19050539733851,144.0,55.19256330082915,4.7812155999999995,32.699266566740135,12.0,132.2345376,15.699266566740109,23.90297399378018,51.20708765395631
