step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.9466731612690504,8.22243721887065,265.262299551538,10.54410024369704,2.1911262911407947,0.0,165.2591987259968,-78.496,176.77869433017625,0.0,54.919356171337256,13.91225,-30.560000000000002,0.0,348.2830712549774,79.8371697204,45.09580075373632,55.536266583705995
2,2,1,0.9982621493089269,87.93527468842284,265.262299551538,49.53462365760423,2.455745774361189,0.0,165.2591987259967,-84.74,203.93000694178144,0.0,54.919356171337256,13.91225,-30.560000000000002,0.0,348.2830712549774,79.8371697204,45.09580075373632,59.810301118651424
3,3,1,0.688412938208767,85.7592591813265,265.26229955153804,45.894463412126505,32.225806397261884,0.0,165.25919872599616,-84.74,193.8005390491316,0.0,54.919356171337256,33.89229300776584,-142.51127050115034,0.0,348.2830712549774,79.8371697204,45.09580075373632,62.219647287470536
4,4,2,0.352086343297549,82.07731344762641,265.26229955153804,43.89878842295683,31.505356022244236,0.0,165.25919872599644,-84.74,194.95055673321033,0.0,54.919356171337256,39.9185848602,-121.00775898571054,0.0,348.2830712549774,79.8371697204,45.09580075373632,70.23738787846442
5,5,3,0.09119202297384718,79.02242862606792,265.26229955153804,43.89878842295683,30.784905647226584,0.0,165.25919872599644,-84.74,194.95055673321033,0.0,41.59658588156869,39.9185848602,-88.09124094834822,0.0,348.2830712549774,79.8371697204,33.92879889686068,65.87503719027549
6,6,4,-0.012459695992630103,77.4860964110352,265.26229955153804,43.89878842295683,8.00287705536144,0.0,116.02808590426575,-84.74,183.7319796392286,0.0,36.326830821212575,39.9185848602,-51.816087057253554,0.0,348.2830712549774,79.8371697204,29.549204751371654,63.08078750779936
7,7,3,-0.019652550317704676,22.67280160772929,124.20419390142916,15.946913283212627,5.260725096397554,0.0,70.9414760532967,-60.76630194548852,76.49024100883,0.0,28.40440789938034,26.21867548387091,-24.877236931812348,0.0,348.2830712549774,0.0,22.98716871730383,44.86378605635581
8,8,4,-0.013608338568204504,20.55978644417263,80.87322274510026,7.257478075826197,4.151120319530213,0.0,57.37280307492839,-44.067256541576256,46.324534849251364,0.0,27.731170728715234,24.032199256272406,-17.725852016684,0.0,260.18406934777033,0.0,22.984466364039672,33.164185332023735
9,9,3,0.006497337852235515,0.0,77.43095571327355,0.7710134764466194,6.503815573927833,0.0,56.946686503732245,-42.238432953054925,40.74086077059779,0.0,28.431338841127225,26.987422870370352,-16.942656264649084,0.0,249.4103910909108,0.0,21.915471624121025,32.275136631038414
10,10,4,0.06398097103066744,13.049476054447506,134.04322293826039,4.825671419924906,0.6483925329063753,0.0,75.86929348531321,-40.01982546091608,40.19192719658304,0.0,36.369953549053584,39.9185848602,-15.610535118912493,0.0,236.30852726894355,0.0,26.316891691796638,32.702176438187934
11,11,1,0.1257808152023097,0.0,134.00656077580246,0.0,0.7881930620415125,0.0,76.85810801231838,-48.449684210526314,34.47694130417953,0.0,43.63768798164182,39.9185848602,-18.456631578947366,0.0,286.09059181490625,0.0,31.81375888879522,40.36667950833606
12,12,1,0.21479747537939792,0.2464560428916398,265.26229955153804,2.7511129779255383,1.080051744438237,0.0,136.78475921741187,-78.496,137.22421785132454,0.0,51.5432795719948,39.9185848602,-30.560000000000002,0.0,348.2830712549774,79.8371697204,32.91450908330851,63.39424703323773
13,1,1,0.32879241405628556,1.279337435749623,265.26229955153804,2.749604766657471,1.5180248063963773,0.0,165.2591987259967,-84.74,152.8746705752578,0.0,54.919356171337256,39.9185848602,-48.7469196645888,0.0,348.2830712549774,79.8371697204,45.09580075373632,69.25169548533952
14,2,1,0.22790736428651884,80.33731111648197,265.26229955153804,43.07747910085065,31.505356022244236,0.0,165.2591987259967,-84.74,192.76552889362947,0.0,54.919356171337256,39.9185848602,-85.52149681410847,0.0,348.2830712549774,79.8371697204,45.09580075373632,66.21336944628527
15,3,3,-0.02106519939737154,77.4860964110352,265.26229955153804,43.78172517866962,30.784905647226584,0.0,165.2591987259972,-84.74,193.8005390491316,0.0,54.919356171337256,39.9185848602,-116.43103882848895,0.0,348.2830712549774,79.8371697204,45.09580075373632,68.52105046271666
16,4,4,-0.012459695992630103,40.34274084516475,213.99000910124593,22.351185442205185,12.586078280166689,0.0,101.16910783210983,-84.74,122.21452475595024,0.0,46.88794212998514,39.9185848602,-36.54629613906594,0.0,348.2830712549774,79.8371697204,40.497458657826584,65.65699022700672
17,5,4,-0.012459695992630103,47.09470901369595,192.76146852171,26.38502712593494,22.248778679577217,0.0,94.15310224360466,-84.74,121.40159801618032,0.0,42.25552936898727,39.9185848602,-37.10337196421843,0.0,348.2830712549774,79.8371697204,33.92879889686068,65.87503719027552
18,6,4,-0.012459695992630103,32.86901757552385,158.9663588472417,18.766565925030655,11.829100423869539,0.0,84.0041739857132,-84.74,119.50968201050938,0.0,40.280491745724014,39.9185848602,-36.59474943283882,0.0,348.2830712549774,79.8371697204,31.73545425636816,63.080787507799386
19,7,3,-0.019652550317704676,23.40779915510786,79.83412962500796,16.320162452268214,7.447138449830739,0.0,58.04110415655532,-63.01977562969905,75.31379700378719,0.0,30.381238361636058,26.21867548387091,-25.842289563391294,0.0,348.2830712549774,0.0,25.17341822230035,46.40665684421528
20,8,4,-0.013608338568204504,25.70476927582255,66.19659688367732,10.24347142827082,7.430740349679999,0.0,53.3406517810108,-50.26430917315521,53.971420882029825,0.0,26.41328375387809,26.561699256272416,-20.37974675352611,0.0,296.7804208719586,0.0,24.077591116537928,37.712439842067724
21,9,3,-0.005078986721127397,1.0505983107221457,72.81413631977954,4.0478993563838,6.503815573927833,0.0,54.79871805744008,-41.346432953054936,42.184957286367776,0.0,26.454508378871502,21.92842287037039,-16.942656264649084,0.0,244.1427344321261,0.0,21.915471624121025,31.053697257316404
22,10,4,0.036667725271724044,14.288452431917014,122.96285639387482,4.825671419924907,0.6565037320843798,0.0,71.57335659272796,-39.127825460916085,37.04936882062984,0.0,35.05206657421645,27.887238853046618,-15.610535118912493,0.0,231.04087061015886,0.0,26.316891691796638,30.25929769074386
23,11,1,0.08320249853869349,0.0,167.0532680134437,0.0,0.7884614147355626,0.0,85.39973692155459,-45.86757894736843,31.712917589966196,0.0,42.97874449422325,39.9185848602,-17.732842105263156,0.0,270.842112013161,0.0,35.09313314628999,37.37736735685842
24,12,1,0.18292449688201493,0.0,265.26229955153804,0.0,1.128987619840156,0.0,165.25919872599746,-77.60399999999998,94.33731572607498,0.0,54.919356171337256,39.9185848602,-30.560000000000002,0.0,348.2830712549774,75.88499999999986,45.09580075373632,61.86744781608519
25,1,1,0.2502944267803004,0.4382429134792458,265.26229955153804,2.749604766657471,1.4210136703010128,0.0,165.25919872599772,-84.74,154.96405257417433,0.0,54.919356171337256,39.9185848602,-48.7469196645888,0.0,348.2830712549774,79.8371697204,45.09580075373632,70.16777501563111
26,2,1,0.004622417465558478,78.03463399691393,265.26229955153804,43.07747910085065,30.784905647226584,0.0,165.25919872599798,-84.74,192.76552889362947,0.0,54.919356171337256,39.9185848602,-85.52149681410846,0.0,348.2830712549774,79.8371697204,45.09580075373632,64.38121038570222
27,3,4,-0.02106519939737154,77.48609641103522,265.26229955153804,37.988426935424414,12.32314928553044,0.0,130.30874850918175,-84.74,139.63565159235972,0.0,54.919356171337256,39.9185848602,-40.716729959389,0.0,348.2830712549774,79.8371697204,45.09580075373632,65.46745202841153
28,4,4,-0.012459695992630103,24.172794802836457,158.32110905289858,12.273457877704605,8.213251573300292,0.0,81.52969938720882,-54.98699792847745,59.86299248867983,0.0,42.275337718055134,39.664199490740735,-21.82924350748698,0.0,324.69633636303377,0.0,37.21808440033181,42.53796227705613
29,5,4,-0.012459695992630103,21.36979485544645,137.1209536616684,11.828309532767474,8.58369522061972,0.0,74.52103055825684,-51.851287413829404,62.579397764038426,0.0,35.666094494801534,31.391004336917632,-21.059371964218418,0.0,306.17857137143403,0.0,29.556299886867635,39.387663876028135
30,6,4,-0.012459695992630103,15.964073985817002,95.57911062246822,8.688838360530072,5.816463701928232,0.0,61.17647742611969,-41.767087543090675,43.629043685246316,0.0,31.05528292186399,25.96274115740744,-16.93180206441775,0.0,246.6268868449625,0.0,26.269830493876874,31.826651273236457
31,7,3,-0.02628725734136353,16.792821228700877,93.97174665851534,12.587670761712463,4.714121758039253,0.0,51.19409484898978,-44.46183700269251,52.273196693854814,0.0,32.35806882389178,21.15967548387094,-18.08583154151182,0.0,262.54058071786386,0.0,25.17341822230035,33.089997171848
32,8,4,-0.024031023229325803,13.944808517765637,50.519123322377254,4.671445934984835,3.6045169811719115,0.0,38.787294064064156,-33.33263157894736,26.794132737005288,0.0,27.731170728715234,18.973199256272384,-13.510736842105262,0.0,196.7913354195769,0.0,21.891341611541414,25.203861614055917
33,9,4,-0.014780687320765387,22.59080562777409,70.41926224981447,11.064161519728563,3.770798882136327,0.0,43.67853251674451,-35.667980861687305,32.902452012842815,0.0,31.067112790801513,24.457922870370375,-14.128852790543217,0.0,210.60894971162995,0.0,21.915471624121025,27.47122920490008
34,10,4,0.004933692087790566,8.003060356688692,131.27313130216402,4.825671419924906,0.615947736194357,0.0,72.7666723962246,-39.57382546091608,30.989493415600382,0.0,36.369953549053584,32.94623885304658,-15.610535118912493,0.0,233.67469893955115,0.0,24.13064218680012,31.175377221035415
35,11,1,0.026874936999799922,0.0,164.05494268820902,0.0,0.6850754693792842,0.0,83.19277659255522,-44.78659499231215,40.38220147905051,0.0,38.366140082293235,39.9185848602,-17.65190951464489,0.0,264.45842106148893,0.0,26.34813512630393,35.72117775646179
36,12,1,0.12567669447918792,0.0,265.26229955153804,0.0,0.8470283688799296,0.0,147.98981304410643,-64.9547014528633,64.85473228471955,0.0,54.919356171337256,39.9185848602,-25.333923716360744,0.0,348.2830712549774,4.144191311699036,45.09580075373632,52.59621731339574
