step,month,stage,ps_equivalent_reservoir,paraibuna,simplicio,sta_branca,jaguari,lajes,ilha_dos_pombos,santana,funil,vigario,sobragi,fontes_a,sta_cecilia,tocos,nilo_pecanha,fontes_bc,picada,pereira_passos
1,1,1,0.9466731612690504,2515.8623183913696,2.2737367544323206e-13,220.19999999999993,698.5182731446957,294.76081600000003,2.2737367544323206e-13,0.0,375.404,0.0,2.842170943040401e-14,0.0,0.0,0.0,0.0,0.0,1.0000000000000142,5.684341886080802e-14
2,2,1,0.9982621493089269,2636.0,0.0,242.15000000000003,785.8983026943915,387.39016000000004,0.0,0.0,415.3330000000001,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,3,1,0.8107401418225587,2274.287568910102,0.0,184.87,793.0,445.34000000000003,0.0,0.0,151.5525,2.2737367544323206e-13,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,0.9999999999999716,0.0
4,4,1,0.5587086544994817,1486.8129778367493,0.0,123.19999999999999,634.4000000000001,445.34,4.547473508864641e-13,0.0,181.5,2.2737367544323206e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999574,0.0
5,5,2,0.3481683549103713,902.9469970208324,0.0,30.80000000000001,396.5,445.34000000000003,9.094947017729282e-13,0.0,181.5,2.2737367544323206e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999574,0.0
6,6,3,0.23672590750431222,384.3433422685898,0.0,30.799999999999955,431.22054811513397,445.34,9.094947017729282e-13,0.0,181.5,2.2737367544323206e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999574,1.1368683772161603e-13
7,7,2,0.17296878913044728,169.2338174829888,0.0,0.0,396.5,445.34000000000003,1.1368683772161603e-12,0.0,181.5,2.2737367544323206e-13,1.5631940186722204e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999503,0.0
8,8,3,0.1340219881104289,131.80000000000018,0.0,26.409999999999997,236.32990709743422,445.34000000000003,1.0231815394945443e-12,0.0,181.5,2.2737367544323206e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999432,5.684341886080802e-14
9,9,3,0.1256782154421434,131.80000000000018,1.1368683772161603e-13,0.0,221.3602641339662,445.3400000000001,1.2505552149377763e-12,0.0,181.5,2.2737367544323206e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999503,5.684341886080802e-14
10,10,3,0.15272573584016594,194.37950984924055,1.1368683772161603e-13,22.02000000000001,251.82631556199362,445.34000000000003,1.0231815394945443e-12,0.0,181.5,2.2737367544323206e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999432,5.684341886080802e-14
11,11,1,0.19488710015001812,327.92868195899746,1.1368683772161603e-13,0.0,298.04117748436624,445.34,1.0231815394945443e-12,0.0,167.32685163679173,2.2737367544323206e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999432,5.684341886080802e-14
12,12,1,0.3319302149927614,578.096813601157,1.1368683772161603e-13,0.0,394.4918155265119,445.34,9.094947017729282e-13,0.0,335.47299999999996,2.2737367544323206e-13,1.4210854715202004e-13,0.0,0.0,1.4210854715202004e-14,5.684341886080802e-14,0.0,0.999999999999929,1.1368683772161603e-13
13,1,1,0.44618545161297213,881.1310359975478,4.547473508864641e-13,0.0,539.1847173058261,445.34,1.3642420526593924e-12,0.0,375.404,2.8421709430404007e-13,2.2737367544323206e-13,0.0,0.0,1.4210854715202004e-14,5.684341886080802e-14,0.0,0.9999999999999432,1.1368683772161603e-13
14,2,1,0.39460560978400266,1054.4,0.0,0.0,433.5492160869601,445.34000000000003,1.8189894035458565e-12,0.0,124.59989999999999,3.410605131648481e-13,2.2737367544323206e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,2.2737367544323206e-13
15,3,2,0.1255826656663335,131.80000000000018,0.0,26.409999999999997,217.46806570032618,445.34,1.8189894035458565e-12,0.0,151.5525,4.547473508864641e-13,2.8421709430404007e-13,5.684341886080802e-14,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,1.1368683772161603e-13
16,4,3,-0.012459695992630103,0.0,0.0,30.799999999999955,158.60000000000002,445.34000000000003,1.8189894035458565e-12,0.0,181.5,4.547473508864641e-13,2.8421709430404007e-13,5.684341886080802e-14,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,1.1368683772161603e-13
17,5,4,-0.012459695992630103,0.0,0.0,30.80000000000001,158.60000000000002,445.34000000000003,1.8189894035458565e-12,0.0,181.5,4.547473508864641e-13,2.8421709430404007e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,1.1368683772161603e-13
18,6,4,-0.012459695992630103,0.0,0.0,30.80000000000001,158.60000000000002,445.34,1.8189894035458565e-12,0.0,181.5,4.547473508864641e-13,2.8421709430404007e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999574,2.2737367544323206e-13
19,7,3,-0.019652550317704676,0.0,0.0,0.0,158.60000000000002,445.34000000000003,1.8189894035458565e-12,0.0,181.5,4.547473508864641e-13,2.984279490192421e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999503,2.2737367544323206e-13
20,8,4,-0.013608338568204504,0.0,0.0,26.409999999999997,158.60000000000002,445.34000000000003,1.8189894035458565e-12,5.684341886080802e-14,181.5,5.115907697472721e-13,2.7000623958883807e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999432,2.8421709430404007e-13
21,9,3,-0.02191902574647373,0.0,0.0,0.0,158.60000000000002,445.34000000000003,1.7053025658242404e-12,5.684341886080802e-14,173.15208066935162,5.115907697472721e-13,2.8421709430404007e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999503,2.8421709430404007e-13
22,10,4,-0.010576293042378098,0.0,0.0,22.02000000000001,176.48633413911523,445.34000000000003,1.5916157281026244e-12,5.684341886080802e-14,181.5,5.115907697472721e-13,2.8421709430404007e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999432,2.8421709430404007e-13
23,11,1,0.006247564941382038,0.0,0.0,0.0,185.5927920640613,445.34000000000003,1.7053025658242404e-12,5.684341886080802e-14,139.57349999999997,5.115907697472721e-13,2.8421709430404007e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999432,2.8421709430404007e-13
24,12,1,0.13513773592578643,0.0,0.0,0.0,297.9767499218349,445.34000000000003,2.0463630789890885e-12,5.684341886080802e-14,298.49506237175547,5.684341886080801e-13,3.410605131648481e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,2.8421709430404007e-13
25,1,1,0.2109324058853919,133.8962671631366,0.0,0.0,394.3509334466263,445.34,2.7284841053187847e-12,0.0,320.67220384620896,6.821210263296962e-13,3.979039320256561e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,3.410605131648481e-13
26,2,1,0.016855801670497546,0.0,0.0,0.0,158.60000000000002,445.34000000000003,3.183231456205249e-12,0.0,124.59989999999999,7.958078640513122e-13,3.979039320256561e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,4.547473508864641e-13
27,3,4,-0.02106519939737154,0.0,0.0,26.409999999999997,158.60000000000002,445.34000000000003,3.410605131648481e-12,0.0,151.5525,9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,3.410605131648481e-13
28,4,4,-0.012459695992630103,0.0,0.0,30.80000000000001,158.60000000000002,445.3400000000001,3.410605131648481e-12,0.0,181.5,9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,3.979039320256561e-13
29,5,4,-0.012459695992630103,0.0,0.0,30.80000000000001,158.60000000000002,445.34000000000003,3.410605131648481e-12,0.0,181.5,9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999858,3.979039320256561e-13
30,6,4,-0.012459695992630103,0.0,0.0,30.80000000000001,158.60000000000002,445.34000000000003,3.296918293926865e-12,0.0,181.5,9.094947017729282e-13,4.689582056016661e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999787,4.547473508864641e-13
31,7,3,-0.02628725734136353,0.0,0.0,0.0,158.60000000000002,445.34000000000003,3.296918293926865e-12,0.0,152.83773392244262,9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999787,4.547473508864641e-13
32,8,4,-0.024031023229325803,0.0,0.0,16.236375233666053,158.60000000000002,445.34000000000003,3.296918293926865e-12,0.0,146.87588382436883,9.094947017729282e-13,4.405364961712621e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999716,4.831690603168681e-13
33,9,4,-0.014780687320765387,0.0,0.0,22.019999999999982,158.60000000000002,445.34000000000003,3.296918293926865e-12,0.0,181.49999999999994,9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999787,4.547473508864641e-13
34,10,4,-0.014780687320765387,0.0,0.0,22.02000000000001,158.60000000000002,445.34000000000003,3.410605131648481e-12,0.0,181.5,9.663381206337363e-13,4.263256414560601e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999858,4.547473508864641e-13
35,11,1,-0.021710664817922325,0.0,0.0,0.0,158.60000000000002,445.34,3.524291969370097e-12,0.0,139.57349999999997,9.663381206337363e-13,4.263256414560601e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.9999999999999929,4.547473508864641e-13
36,12,1,0.055239644387531844,0.0,0.0,0.0,212.0254881075233,445.34000000000003,3.637978807091713e-12,0.0,196.7158623717554,1.0231815394945443e-12,4.547473508864641e-13,0.0,0.0,1.4210854715202004e-14,0.0,0.0,1.0,4.547473508864641e-13
37,1,1,0.20546405163388454,100.3513893279337,0.0,0.0,351.15605473400433,445.34,3.637978807091713e-12,0.0,375.4040000000001,1.0231815394945443e-12,5.115907697472721e-13,0.0,0.0,2.842170943040401e-14,0.0,0.0,1.0,4.547473508864641e-13
38,2,1,0.022512535128823362,0.0,0.0,0.0,158.60000000000002,445.34000000000003,3.865352482534945e-12,0.0,124.59989999999999,1.0231815394945443e-12,5.115907697472721e-13,0.0,0.0,2.842170943040401e-14,0.0,0.0,1.0000000000000142,5.684341886080801e-13
39,3,4,-0.02106519939737154,0.0,2.2737367544323206e-13,26.409999999999997,158.60000000000002,445.34000000000003,3.865352482534945e-12,0.0,151.5525,1.1368683772161603e-12,5.115907697472721e-13,0.0,0.0,2.842170943040401e-14,0.0,0.0,1.0000000000000142,4.547473508864641e-13
40,4,4,-0.012459695992630103,0.0,1.1368683772161603e-13,30.80000000000001,158.60000000000002,445.34000000000003,3.865352482534945e-12,0.0,181.5,1.0800249583553523e-12,5.115907697472721e-13,0.0,0.0,2.842170943040401e-14,0.0,0.0,1.0000000000000142,3.979039320256561e-13
41,5,4,-0.012459695992630103,0.0,1.1368683772161603e-13,30.80000000000001,158.60000000000002,445.34000000000003,3.865352482534945e-12,0.0,181.5,1.0800249583553523e-12,4.973799150320701e-13,0.0,5.684341886080802e-14,2.842170943040401e-14,0.0,0.0,1.0000000000000142,3.979039320256561e-13
42,6,4,-0.012459695992630103,0.0,5.684341886080802e-14,30.80000000000001,158.60000000000002,445.34000000000003,3.922195901395753e-12,0.0,181.5,1.0516032489249483e-12,4.973799150320701e-13,0.0,5.684341886080802e-14,2.842170943040401e-14,0.0,0.0,1.0000000000000142,3.979039320256561e-13
43,7,3,-0.03248718558293473,0.0,1.1368683772161603e-13,0.0,158.60000000000002,445.34000000000003,3.808509063674137e-12,0.0,126.05373392244263,1.0231815394945443e-12,4.973799150320701e-13,0.0,5.684341886080802e-14,2.842170943040401e-14,0.0,0.0,1.0000000000000213,3.979039320256561e-13
